,translate,tactic,media_dist,citizen_dist,epsilon,graph_type,ba-m,repetition,lr-intercept,lr-slope,var,start,end,delta,max,polarized
754,2,broadcast-brain,polarized,polarized,2,barabasi-albert,3,0,8.4838042428231,0.01783867637496189,19.27304,11.224222,10.025167,-1.1990547,13.172333,1
12,0,broadcast-brain,uniform,uniform,0,ba-homophilic,3,0,9.772363346985921,-0.0012801317068246696,1.4714291,9.886168,9.697946,-0.18822193,9.886168,1
13,0,broadcast-brain,uniform,uniform,0,ba-homophilic,3,1,11.303966760994982,0.0037369471761435945,0.17206578,11.171946,11.408417,0.23647118,11.50989,1
14,0,broadcast-brain,uniform,uniform,0,barabasi-albert,3,0,10.394129881132422,0.009614949808940629,0.64387155,10.254568,10.736543,0.4819746,10.833364,1
17,0,broadcast-brain,uniform,uniform,1,ba-homophilic,3,1,10.950360973496242,-0.009552913078894982,0.64460146,10.763611,10.240945,-0.522666,11.039056,1
19,0,broadcast-brain,uniform,uniform,1,barabasi-albert,3,1,9.84182354335871,-0.00011956020717707187,0.84741217,10.034445,10.028778,-0.005666733,10.14189,1
22,0,broadcast-brain,uniform,uniform,2,barabasi-albert,3,0,10.12833071905743,-0.0007370175495406616,0.5284709,9.4163885,9.985723,0.56933403,10.505834,1
25,0,broadcast-brain,uniform,polarized,0,ba-homophilic,3,1,11.876300040053746,-0.0034826785299033602,2.3313186,11.623667,11.543945,-0.07972145,12.072278,1
26,0,broadcast-brain,uniform,polarized,0,barabasi-albert,3,0,12.332750960532715,-0.004670998241027556,0.8921423,12.273334,11.949612,-0.3237219,12.484334,1
28,0,broadcast-brain,uniform,polarized,1,ba-homophilic,3,0,12.736244507325,0.00701736648697659,2.6814644,12.583666,12.944722,0.36105633,13.303612,1
30,0,broadcast-brain,uniform,polarized,1,barabasi-albert,3,0,11.175421253768206,0.003261489609247959,6.666166,11.475833,11.245389,-0.23044395,11.5465555,1
31,0,broadcast-brain,uniform,polarized,1,barabasi-albert,3,1,12.39968132577151,-0.0063437671575071585,0.34666336,12.2675,12.098333,-0.16916656,12.634222,1
35,0,broadcast-brain,uniform,polarized,2,barabasi-albert,3,1,13.141053552900864,-0.008450290369232318,0.32619977,13.2475,13.229388,-0.018112183,13.532112,1
