,translate,tactic,media_dist,citizen_dist,epsilon,graph_type,ba-m,repetition,lr-intercept,lr-slope,var,start,end,delta,max,polarized
15,0,broadcast-brain,uniform,uniform,0,barabasi-albert,3,1,10.533589719107788,-0.01652807425589583,0.67091537,10.542861,9.833666,-0.70919514,10.542861,0
20,0,broadcast-brain,uniform,uniform,2,ba-homophilic,3,0,10.594526177977365,-0.048233944733218376,0.56389064,11.101833,8.531,-2.5708332,11.233222,0
21,0,broadcast-brain,uniform,uniform,2,ba-homophilic,3,1,11.39575315061198,-0.012276618836692017,0.5190856,11.343333,10.618944,-0.7243891,11.416612,0
27,0,broadcast-brain,uniform,polarized,0,barabasi-albert,3,1,11.788714134135756,-0.019542202151199273,0.36570406,11.76,10.748334,-1.0116663,11.850167,0
29,0,broadcast-brain,uniform,polarized,1,ba-homophilic,3,1,11.763113855416599,-0.0509089575202217,0.78581935,11.914166,9.6975,-2.2166662,12.0245,0
32,0,broadcast-brain,uniform,polarized,2,ba-homophilic,3,0,13.220816632381572,-0.012485346384177922,2.5740647,12.838666,12.283501,-0.5551653,13.283999,0
33,0,broadcast-brain,uniform,polarized,2,ba-homophilic,3,1,11.464716694833285,-0.04467690144189343,0.32393494,12.2497225,9.364944,-2.884778,12.2497225,0
34,0,broadcast-brain,uniform,polarized,2,barabasi-albert,3,0,11.916449241868332,-0.03197897345771617,0.37299147,12.26,10.776167,-1.4838333,12.26,0
36,0,broadcast-brain,normal,normal,0,ba-homophilic,3,0,2.414064022840238,-0.012037898091708915,0.044888336,2.6566668,1.9567778,-0.69988894,2.6566668,0
37,0,broadcast-brain,normal,normal,0,ba-homophilic,3,1,2.418795221531553,-0.010737211305091823,0.05681009,2.5208333,1.9346111,-0.5862222,2.5208333,0
39,0,broadcast-brain,normal,normal,0,barabasi-albert,3,1,3.046401290152767,-0.0203885990893679,0.19206554,3.3275,2.3952222,-0.9322779,3.3275,0
40,0,broadcast-brain,normal,normal,1,ba-homophilic,3,0,2.978871159693774,-0.022321774118086873,0.1515873,2.882111,1.996,-0.886111,3.0245,0
43,0,broadcast-brain,normal,normal,1,barabasi-albert,3,1,2.5497059269188753,-0.013323357838850754,0.18257244,2.716,1.9344444,-0.78155565,2.716,0
46,0,broadcast-brain,normal,normal,2,barabasi-albert,3,0,3.3232440198708444,-0.011093464825487785,0.20836762,3.4938335,2.896611,-0.59722257,3.4938335,0
48,0,broadcast-brain,normal,uniform,0,ba-homophilic,3,0,11.077420948137885,-0.03200062557582942,0.4290191,11.396389,9.7300005,-1.6663885,11.396389,0
49,0,broadcast-brain,normal,uniform,0,ba-homophilic,3,1,11.381989445262006,-0.03068986271301546,0.04745331,11.465278,9.919222,-1.5460558,11.471666,0
50,0,broadcast-brain,normal,uniform,0,barabasi-albert,3,0,9.742923042892869,-0.042731301104860606,1.5918878,10.051278,7.742166,-2.309112,10.051278,0
51,0,broadcast-brain,normal,uniform,0,barabasi-albert,3,1,10.974055976349844,-0.05086127837858589,0.81870425,11.015333,8.661555,-2.353778,11.015333,0
