,translate,zeta_media,citizen_dist,media_dist,repetition
1699,1,1,normal,polarized,4
1715,1,1,normal,polarized,0
1716,1,1,normal,polarized,1
1717,1,1,normal,polarized,2
1718,1,1,normal,polarized,3
1719,1,1,normal,polarized,4
1735,1,1,normal,polarized,0
1736,1,1,normal,polarized,1
1737,1,1,normal,polarized,2
1738,1,1,normal,polarized,3
1739,1,1,normal,polarized,4
1751,1,0.75,normal,polarized,1
1755,1,1,normal,polarized,0
1756,1,1,normal,polarized,1
1757,1,1,normal,polarized,2
1758,1,1,normal,polarized,3
1759,1,1,normal,polarized,4
1775,1,1,polarized,polarized,0
1776,1,1,polarized,polarized,1
1777,1,1,polarized,polarized,2
1778,1,1,polarized,polarized,3
1779,1,1,polarized,polarized,4
1795,1,1,polarized,polarized,0
1796,1,1,polarized,polarized,1
1797,1,1,polarized,polarized,2
1798,1,1,polarized,polarized,3
1799,1,1,polarized,polarized,4
1815,1,1,polarized,polarized,0
1816,1,1,polarized,polarized,1
1817,1,1,polarized,polarized,2
1818,1,1,polarized,polarized,3
1819,1,1,polarized,polarized,4
1835,1,1,polarized,polarized,0
1836,1,1,polarized,polarized,1
1837,1,1,polarized,polarized,2
1838,1,1,polarized,polarized,3
1839,1,1,polarized,polarized,4
1855,1,1,uniform,polarized,0
1856,1,1,uniform,polarized,1
1857,1,1,uniform,polarized,2
1858,1,1,uniform,polarized,3
1859,1,1,uniform,polarized,4
1875,1,1,uniform,polarized,0
1876,1,1,uniform,polarized,1
1877,1,1,uniform,polarized,2
1878,1,1,uniform,polarized,3
1879,1,1,uniform,polarized,4
1895,1,1,uniform,polarized,0
1896,1,1,uniform,polarized,1
1897,1,1,uniform,polarized,2
1898,1,1,uniform,polarized,3
1899,1,1,uniform,polarized,4
1915,1,1,uniform,polarized,0
1916,1,1,uniform,polarized,1
1917,1,1,uniform,polarized,2
1918,1,1,uniform,polarized,3
1919,1,1,uniform,polarized,4
1935,1,1,normal,uniform,0
1936,1,1,normal,uniform,1
1937,1,1,normal,uniform,2
1938,1,1,normal,uniform,3
1939,1,1,normal,uniform,4
1950,1,0.75,normal,uniform,0
1955,1,1,normal,uniform,0
1956,1,1,normal,uniform,1
1957,1,1,normal,uniform,2
1958,1,1,normal,uniform,3
1959,1,1,normal,uniform,4
1975,1,1,normal,uniform,0
1976,1,1,normal,uniform,1
1977,1,1,normal,uniform,2
1978,1,1,normal,uniform,3
1979,1,1,normal,uniform,4
1992,1,0.75,normal,uniform,2
1995,1,1,normal,uniform,0
1996,1,1,normal,uniform,1
1997,1,1,normal,uniform,2
1998,1,1,normal,uniform,3
1999,1,1,normal,uniform,4
2015,1,1,polarized,uniform,0
2016,1,1,polarized,uniform,1
2017,1,1,polarized,uniform,2
2018,1,1,polarized,uniform,3
2019,1,1,polarized,uniform,4
2035,1,1,polarized,uniform,0
2036,1,1,polarized,uniform,1
2037,1,1,polarized,uniform,2
2038,1,1,polarized,uniform,3
2039,1,1,polarized,uniform,4
2055,1,1,polarized,uniform,0
2056,1,1,polarized,uniform,1
2057,1,1,polarized,uniform,2
2058,1,1,polarized,uniform,3
2059,1,1,polarized,uniform,4
2072,1,0.75,polarized,uniform,2
2075,1,1,polarized,uniform,0
2076,1,1,polarized,uniform,1
2077,1,1,polarized,uniform,2
2078,1,1,polarized,uniform,3
2079,1,1,polarized,uniform,4
2095,1,1,uniform,uniform,0
2096,1,1,uniform,uniform,1
2097,1,1,uniform,uniform,2
2098,1,1,uniform,uniform,3
2099,1,1,uniform,uniform,4
2115,1,1,uniform,uniform,0
2116,1,1,uniform,uniform,1
2117,1,1,uniform,uniform,2
2118,1,1,uniform,uniform,3
2119,1,1,uniform,uniform,4
2135,1,1,uniform,uniform,0
2136,1,1,uniform,uniform,1
2137,1,1,uniform,uniform,2
2138,1,1,uniform,uniform,3
2139,1,1,uniform,uniform,4
2155,1,1,uniform,uniform,0
2156,1,1,uniform,uniform,1
2157,1,1,uniform,uniform,2
2158,1,1,uniform,uniform,3
2159,1,1,uniform,uniform,4
2175,1,1,normal,normal,0
2176,1,1,normal,normal,1
2177,1,1,normal,normal,2
2178,1,1,normal,normal,3
2179,1,1,normal,normal,4
2195,1,1,normal,normal,0
2196,1,1,normal,normal,1
2197,1,1,normal,normal,2
2198,1,1,normal,normal,3
2199,1,1,normal,normal,4
2215,1,1,normal,normal,0
2216,1,1,normal,normal,1
2217,1,1,normal,normal,2
2218,1,1,normal,normal,3
2219,1,1,normal,normal,4
2235,1,1,normal,normal,0
2236,1,1,normal,normal,1
2237,1,1,normal,normal,2
2238,1,1,normal,normal,3
2239,1,1,normal,normal,4
2253,1,0.75,polarized,normal,3
2255,1,1,polarized,normal,0 (2)
2256,1,1,polarized,normal,0
2257,1,1,polarized,normal,1
2258,1,1,polarized,normal,2
2259,1,1,polarized,normal,3
2260,1,1,polarized,normal,4
2272,1,0.75,polarized,normal,1
2276,1,1,polarized,normal,0
2277,1,1,polarized,normal,1
2278,1,1,polarized,normal,2
2279,1,1,polarized,normal,3
2280,1,1,polarized,normal,4
2291,1,0.75,polarized,normal,0
2296,1,1,polarized,normal,0
2297,1,1,polarized,normal,1
2298,1,1,polarized,normal,2
2299,1,1,polarized,normal,3
2300,1,1,polarized,normal,4
2312,1,0.75,polarized,normal,1
2314,1,0.75,polarized,normal,3
2316,1,1,polarized,normal,0
2317,1,1,polarized,normal,1
2318,1,1,polarized,normal,2
2319,1,1,polarized,normal,3
2320,1,1,polarized,normal,4
2336,1,1,uniform,normal,0
2337,1,1,uniform,normal,1
2338,1,1,uniform,normal,2
2339,1,1,uniform,normal,3
2340,1,1,uniform,normal,4
2356,1,1,uniform,normal,0
2357,1,1,uniform,normal,1
2358,1,1,uniform,normal,2
2359,1,1,uniform,normal,3
2360,1,1,uniform,normal,4
2376,1,1,uniform,normal,0
2377,1,1,uniform,normal,1
2378,1,1,uniform,normal,2
2379,1,1,uniform,normal,3
2380,1,1,uniform,normal,4
2396,1,1,uniform,normal,0
2397,1,1,uniform,normal,1
2398,1,1,uniform,normal,2
2399,1,1,uniform,normal,3
2400,1,1,uniform,normal,4
2411,1,0.75,normal,polarized,0
2416,1,1,normal,polarized,0
2417,1,1,normal,polarized,1
2418,1,1,normal,polarized,2
2419,1,1,normal,polarized,3
2420,1,1,normal,polarized,4
2436,1,1,normal,polarized,0
2437,1,1,normal,polarized,1
2438,1,1,normal,polarized,2
2439,1,1,normal,polarized,3
2440,1,1,normal,polarized,4
2456,1,1,normal,polarized,0
2457,1,1,normal,polarized,1
2458,1,1,normal,polarized,2
2459,1,1,normal,polarized,3
2460,1,1,normal,polarized,4
2476,1,1,normal,polarized,0
2477,1,1,normal,polarized,1
2478,1,1,normal,polarized,2
2479,1,1,normal,polarized,3
2480,1,1,normal,polarized,4
2496,1,1,polarized,polarized,0
2497,1,1,polarized,polarized,1
2498,1,1,polarized,polarized,2
2499,1,1,polarized,polarized,3
2500,1,1,polarized,polarized,4
2516,1,1,polarized,polarized,0
2517,1,1,polarized,polarized,1
2518,1,1,polarized,polarized,2
2519,1,1,polarized,polarized,3
2520,1,1,polarized,polarized,4
2536,1,1,polarized,polarized,0
2537,1,1,polarized,polarized,1
2538,1,1,polarized,polarized,2
2539,1,1,polarized,polarized,3
2540,1,1,polarized,polarized,4
2556,1,1,polarized,polarized,0
2557,1,1,polarized,polarized,1
2558,1,1,polarized,polarized,2
2559,1,1,polarized,polarized,3
2560,1,1,polarized,polarized,4
2576,1,1,uniform,polarized,0
2577,1,1,uniform,polarized,1
2578,1,1,uniform,polarized,2
2579,1,1,uniform,polarized,3
2580,1,1,uniform,polarized,4
2596,1,1,uniform,polarized,0
2597,1,1,uniform,polarized,1
2598,1,1,uniform,polarized,2
2599,1,1,uniform,polarized,3
2600,1,1,uniform,polarized,4
2616,1,1,uniform,polarized,0
2617,1,1,uniform,polarized,1
2618,1,1,uniform,polarized,2
2619,1,1,uniform,polarized,3
2620,1,1,uniform,polarized,4
2636,1,1,uniform,polarized,0
2637,1,1,uniform,polarized,1
2638,1,1,uniform,polarized,2
2639,1,1,uniform,polarized,3
2640,1,1,uniform,polarized,4
2656,1,1,normal,uniform,0
2657,1,1,normal,uniform,1
2658,1,1,normal,uniform,2
2659,1,1,normal,uniform,3
2660,1,1,normal,uniform,4
2671,1,0.75,normal,uniform,0
2676,1,1,normal,uniform,0
2677,1,1,normal,uniform,1
2678,1,1,normal,uniform,2
2679,1,1,normal,uniform,3
2680,1,1,normal,uniform,4
2696,1,1,normal,uniform,0
2697,1,1,normal,uniform,1
2698,1,1,normal,uniform,2
2699,1,1,normal,uniform,3
2700,1,1,normal,uniform,4
2716,1,1,normal,uniform,0
2717,1,1,normal,uniform,1
2718,1,1,normal,uniform,2
2719,1,1,normal,uniform,3
2720,1,1,normal,uniform,4
2736,1,1,polarized,uniform,0
2737,1,1,polarized,uniform,1
2738,1,1,polarized,uniform,2
2739,1,1,polarized,uniform,3
2740,1,1,polarized,uniform,4
2756,1,1,polarized,uniform,0
2757,1,1,polarized,uniform,1
2758,1,1,polarized,uniform,2
2759,1,1,polarized,uniform,3
2760,1,1,polarized,uniform,4
2776,1,1,polarized,uniform,0
2777,1,1,polarized,uniform,1
2778,1,1,polarized,uniform,2
2779,1,1,polarized,uniform,3
2780,1,1,polarized,uniform,4
2796,1,1,polarized,uniform,0
2797,1,1,polarized,uniform,1
2798,1,1,polarized,uniform,2
2799,1,1,polarized,uniform,3
2800,1,1,polarized,uniform,4
2816,1,1,uniform,uniform,0
2817,1,1,uniform,uniform,1
2818,1,1,uniform,uniform,2
2819,1,1,uniform,uniform,3
2820,1,1,uniform,uniform,4
2836,1,1,uniform,uniform,0
2837,1,1,uniform,uniform,1
2838,1,1,uniform,uniform,2
2839,1,1,uniform,uniform,3
2840,1,1,uniform,uniform,4
2856,1,1,uniform,uniform,0
2857,1,1,uniform,uniform,1
2858,1,1,uniform,uniform,2
2859,1,1,uniform,uniform,3
2860,1,1,uniform,uniform,4
2876,1,1,uniform,uniform,0
2877,1,1,uniform,uniform,1
2878,1,1,uniform,uniform,2
2879,1,1,uniform,uniform,3
2880,1,1,uniform,uniform,4
2896,2,1,normal,normal,0
2897,2,1,normal,normal,1
2898,2,1,normal,normal,2
2899,2,1,normal,normal,3
2900,2,1,normal,normal,4
2916,2,1,normal,normal,0
2917,2,1,normal,normal,1
2918,2,1,normal,normal,2
2919,2,1,normal,normal,3
2920,2,1,normal,normal,4
2936,2,1,normal,normal,0
2937,2,1,normal,normal,1
2938,2,1,normal,normal,2
2939,2,1,normal,normal,3
2940,2,1,normal,normal,4
2956,2,1,normal,normal,0
2957,2,1,normal,normal,1
2958,2,1,normal,normal,2
2959,2,1,normal,normal,3
2960,2,1,normal,normal,4
2976,2,1,polarized,normal,0
2977,2,1,polarized,normal,1
2978,2,1,polarized,normal,2
2979,2,1,polarized,normal,3
2980,2,1,polarized,normal,4
2996,2,1,polarized,normal,0
2997,2,1,polarized,normal,1
2998,2,1,polarized,normal,2
2999,2,1,polarized,normal,3
3000,2,1,polarized,normal,4
3016,2,1,polarized,normal,0
3017,2,1,polarized,normal,1
3018,2,1,polarized,normal,2
3019,2,1,polarized,normal,3
3020,2,1,polarized,normal,4
3036,2,1,polarized,normal,0
3037,2,1,polarized,normal,1
3038,2,1,polarized,normal,2
3039,2,1,polarized,normal,3
3040,2,1,polarized,normal,4
3056,2,1,uniform,normal,0
3057,2,1,uniform,normal,1
3058,2,1,uniform,normal,2
3059,2,1,uniform,normal,3
3060,2,1,uniform,normal,4
3076,2,1,uniform,normal,0
3077,2,1,uniform,normal,1
3078,2,1,uniform,normal,2
3079,2,1,uniform,normal,3
3080,2,1,uniform,normal,4
3096,2,1,uniform,normal,0
3097,2,1,uniform,normal,1
3098,2,1,uniform,normal,2
3099,2,1,uniform,normal,3
3100,2,1,uniform,normal,4
3116,2,1,uniform,normal,0
3117,2,1,uniform,normal,1
3118,2,1,uniform,normal,2
3119,2,1,uniform,normal,3
3120,2,1,uniform,normal,4
3136,2,1,normal,polarized,0
3137,2,1,normal,polarized,1
3138,2,1,normal,polarized,2
3139,2,1,normal,polarized,3
3140,2,1,normal,polarized,4
3156,2,1,normal,polarized,0
3157,2,1,normal,polarized,1
3158,2,1,normal,polarized,2
3159,2,1,normal,polarized,3
3160,2,1,normal,polarized,4
3176,2,1,normal,polarized,0
3177,2,1,normal,polarized,1
3178,2,1,normal,polarized,2
3179,2,1,normal,polarized,3
3180,2,1,normal,polarized,4
3196,2,1,normal,polarized,0
3197,2,1,normal,polarized,1
3198,2,1,normal,polarized,2
3199,2,1,normal,polarized,3
3200,2,1,normal,polarized,4
3216,2,1,polarized,polarized,0
3217,2,1,polarized,polarized,1
3218,2,1,polarized,polarized,2
3219,2,1,polarized,polarized,3
3220,2,1,polarized,polarized,4
3236,2,1,polarized,polarized,0
3237,2,1,polarized,polarized,1
3238,2,1,polarized,polarized,2
3239,2,1,polarized,polarized,3
3240,2,1,polarized,polarized,4
3256,2,1,polarized,polarized,0
3257,2,1,polarized,polarized,1
3258,2,1,polarized,polarized,2
3259,2,1,polarized,polarized,3
3260,2,1,polarized,polarized,4
3276,2,1,polarized,polarized,0
3277,2,1,polarized,polarized,1
3278,2,1,polarized,polarized,2
3279,2,1,polarized,polarized,3
3280,2,1,polarized,polarized,4
3296,2,1,uniform,polarized,0
3297,2,1,uniform,polarized,1
3298,2,1,uniform,polarized,2
3299,2,1,uniform,polarized,3
3300,2,1,uniform,polarized,4
3316,2,1,uniform,polarized,0
3317,2,1,uniform,polarized,1
3318,2,1,uniform,polarized,2
3319,2,1,uniform,polarized,3
3320,2,1,uniform,polarized,4
3336,2,1,uniform,polarized,0
3337,2,1,uniform,polarized,1
3338,2,1,uniform,polarized,2
3339,2,1,uniform,polarized,3
3340,2,1,uniform,polarized,4
3356,2,1,uniform,polarized,0
3357,2,1,uniform,polarized,1
3358,2,1,uniform,polarized,2
3359,2,1,uniform,polarized,3
3360,2,1,uniform,polarized,4
3376,2,1,normal,uniform,0
3377,2,1,normal,uniform,1
3378,2,1,normal,uniform,2
3379,2,1,normal,uniform,3
3380,2,1,normal,uniform,4
3396,2,1,normal,uniform,0
3397,2,1,normal,uniform,1
3398,2,1,normal,uniform,2
3399,2,1,normal,uniform,3
3400,2,1,normal,uniform,4
3416,2,1,normal,uniform,0
3417,2,1,normal,uniform,1
3418,2,1,normal,uniform,2
3419,2,1,normal,uniform,3
3420,2,1,normal,uniform,4
3436,2,1,normal,uniform,0
3437,2,1,normal,uniform,1
3438,2,1,normal,uniform,2
3439,2,1,normal,uniform,3
3440,2,1,normal,uniform,4
3456,2,1,polarized,uniform,0
3457,2,1,polarized,uniform,1
3458,2,1,polarized,uniform,2
3459,2,1,polarized,uniform,3
3460,2,1,polarized,uniform,4
3476,2,1,polarized,uniform,0
3477,2,1,polarized,uniform,1
3478,2,1,polarized,uniform,2
3479,2,1,polarized,uniform,3
3480,2,1,polarized,uniform,4
3496,2,1,polarized,uniform,0
3497,2,1,polarized,uniform,1
3498,2,1,polarized,uniform,2
3499,2,1,polarized,uniform,3
3500,2,1,polarized,uniform,4
3516,2,1,polarized,uniform,0
3517,2,1,polarized,uniform,1
3518,2,1,polarized,uniform,2
3519,2,1,polarized,uniform,3
3520,2,1,polarized,uniform,4
3536,2,1,uniform,uniform,0
3537,2,1,uniform,uniform,1
3538,2,1,uniform,uniform,2
3539,2,1,uniform,uniform,3
3540,2,1,uniform,uniform,4
3556,2,1,uniform,uniform,0
3557,2,1,uniform,uniform,1
3558,2,1,uniform,uniform,2
3559,2,1,uniform,uniform,3
3560,2,1,uniform,uniform,4
3576,2,1,uniform,uniform,0
3577,2,1,uniform,uniform,1
3578,2,1,uniform,uniform,2
3579,2,1,uniform,uniform,3
3580,2,1,uniform,uniform,4
3596,2,1,uniform,uniform,0
3597,2,1,uniform,uniform,1
3598,2,1,uniform,uniform,2
3599,2,1,uniform,uniform,3
3600,2,1,uniform,uniform,4
3616,2,1,normal,normal,0
3617,2,1,normal,normal,1
3618,2,1,normal,normal,2
3619,2,1,normal,normal,3
3620,2,1,normal,normal,4
3636,2,1,normal,normal,0
3637,2,1,normal,normal,1
3638,2,1,normal,normal,2
3639,2,1,normal,normal,3
3640,2,1,normal,normal,4
3656,2,1,normal,normal,0
3657,2,1,normal,normal,1
3658,2,1,normal,normal,2
3659,2,1,normal,normal,3
3660,2,1,normal,normal,4
3676,2,1,normal,normal,0
3677,2,1,normal,normal,1
3678,2,1,normal,normal,2
3679,2,1,normal,normal,3
3680,2,1,normal,normal,4
3696,2,1,polarized,normal,0
3697,2,1,polarized,normal,1
3698,2,1,polarized,normal,2
3699,2,1,polarized,normal,3
3700,2,1,polarized,normal,4
3716,2,1,polarized,normal,0
3717,2,1,polarized,normal,1
3718,2,1,polarized,normal,2
3719,2,1,polarized,normal,3
3720,2,1,polarized,normal,4
3736,2,1,polarized,normal,0
3737,2,1,polarized,normal,1
3738,2,1,polarized,normal,2
3739,2,1,polarized,normal,3
3740,2,1,polarized,normal,4
3756,2,1,polarized,normal,0
3757,2,1,polarized,normal,1
3758,2,1,polarized,normal,2
3759,2,1,polarized,normal,3
3760,2,1,polarized,normal,4
3776,2,1,uniform,normal,0
3777,2,1,uniform,normal,1
3778,2,1,uniform,normal,2
3779,2,1,uniform,normal,3
3780,2,1,uniform,normal,4
3796,2,1,uniform,normal,0
3797,2,1,uniform,normal,1
3798,2,1,uniform,normal,2
3799,2,1,uniform,normal,3
3800,2,1,uniform,normal,4
3816,2,1,uniform,normal,0
3817,2,1,uniform,normal,1
3818,2,1,uniform,normal,2
3819,2,1,uniform,normal,3
3820,2,1,uniform,normal,4
3836,2,1,uniform,normal,0
3837,2,1,uniform,normal,1
3838,2,1,uniform,normal,2
3839,2,1,uniform,normal,3
3840,2,1,uniform,normal,4
3856,2,1,normal,polarized,0
3857,2,1,normal,polarized,1
3858,2,1,normal,polarized,2
3859,2,1,normal,polarized,3
3860,2,1,normal,polarized,4
3877,2,1,normal,polarized,0
3878,2,1,normal,polarized,1
3879,2,1,normal,polarized,2
3880,2,1,normal,polarized,3
3881,2,1,normal,polarized,4
3897,2,1,normal,polarized,0
3898,2,1,normal,polarized,1
3899,2,1,normal,polarized,2
3900,2,1,normal,polarized,3
3901,2,1,normal,polarized,4
3917,2,1,normal,polarized,0
3918,2,1,normal,polarized,1
3919,2,1,normal,polarized,2
3920,2,1,normal,polarized,3
3921,2,1,normal,polarized,4
3937,2,1,polarized,polarized,0
3938,2,1,polarized,polarized,1
3939,2,1,polarized,polarized,2
3940,2,1,polarized,polarized,3
3941,2,1,polarized,polarized,4
3957,2,1,polarized,polarized,0
3958,2,1,polarized,polarized,1
3959,2,1,polarized,polarized,2
3960,2,1,polarized,polarized,3
3961,2,1,polarized,polarized,4
3977,2,1,polarized,polarized,0
3978,2,1,polarized,polarized,1
3979,2,1,polarized,polarized,2
3980,2,1,polarized,polarized,3
3981,2,1,polarized,polarized,4
3997,2,1,polarized,polarized,0
3998,2,1,polarized,polarized,1
3999,2,1,polarized,polarized,2
4000,2,1,polarized,polarized,3
4001,2,1,polarized,polarized,4
4017,2,1,uniform,polarized,0
4018,2,1,uniform,polarized,1
4019,2,1,uniform,polarized,2
4020,2,1,uniform,polarized,3
4021,2,1,uniform,polarized,4
4037,2,1,uniform,polarized,0
4038,2,1,uniform,polarized,1
4039,2,1,uniform,polarized,2
4040,2,1,uniform,polarized,3
4041,2,1,uniform,polarized,4
4057,2,1,uniform,polarized,0
4058,2,1,uniform,polarized,1
4059,2,1,uniform,polarized,2
4060,2,1,uniform,polarized,3
4061,2,1,uniform,polarized,4
4077,2,1,uniform,polarized,0
4078,2,1,uniform,polarized,1
4079,2,1,uniform,polarized,2
4080,2,1,uniform,polarized,3
4081,2,1,uniform,polarized,4
4097,2,1,normal,uniform,0
4098,2,1,normal,uniform,1
4099,2,1,normal,uniform,2
4100,2,1,normal,uniform,3
4101,2,1,normal,uniform,4
4117,2,1,normal,uniform,0
4118,2,1,normal,uniform,1
4119,2,1,normal,uniform,2
4120,2,1,normal,uniform,3
4121,2,1,normal,uniform,4
4137,2,1,normal,uniform,0
4138,2,1,normal,uniform,1
4139,2,1,normal,uniform,2
4140,2,1,normal,uniform,3
4141,2,1,normal,uniform,4
4157,2,1,normal,uniform,0
4158,2,1,normal,uniform,1
4159,2,1,normal,uniform,2
4160,2,1,normal,uniform,3
4161,2,1,normal,uniform,4
4177,2,1,polarized,uniform,0
4178,2,1,polarized,uniform,1
4179,2,1,polarized,uniform,2
4180,2,1,polarized,uniform,3
4181,2,1,polarized,uniform,4
4197,2,1,polarized,uniform,0
4198,2,1,polarized,uniform,1
4199,2,1,polarized,uniform,2
4200,2,1,polarized,uniform,3
4201,2,1,polarized,uniform,4
4217,2,1,polarized,uniform,0
4218,2,1,polarized,uniform,1
4219,2,1,polarized,uniform,2
4220,2,1,polarized,uniform,3
4221,2,1,polarized,uniform,4
4237,2,1,polarized,uniform,0
4238,2,1,polarized,uniform,1
4239,2,1,polarized,uniform,2
4240,2,1,polarized,uniform,3
4241,2,1,polarized,uniform,4
4257,2,1,uniform,uniform,0
4258,2,1,uniform,uniform,1
4259,2,1,uniform,uniform,2
4260,2,1,uniform,uniform,3
4261,2,1,uniform,uniform,4
4277,2,1,uniform,uniform,0
4278,2,1,uniform,uniform,1
4279,2,1,uniform,uniform,2
4280,2,1,uniform,uniform,3
4281,2,1,uniform,uniform,4
4297,2,1,uniform,uniform,0
4298,2,1,uniform,uniform,1
4299,2,1,uniform,uniform,2
4300,2,1,uniform,uniform,3
4301,2,1,uniform,uniform,4
4317,2,1,uniform,uniform,0
4318,2,1,uniform,uniform,1
4319,2,1,uniform,uniform,2
4320,2,1,uniform,uniform,3
4321,2,1,uniform,uniform,4
