,translate,zeta_media,citizen_dist,media_dist,repetition
590,0,0.75,polarized,uniform,0
591,0,0.75,polarized,uniform,1
592,0,0.75,polarized,uniform,2
593,0,0.75,polarized,uniform,3
594,0,0.75,polarized,uniform,4
595,0,1,polarized,uniform,0
596,0,1,polarized,uniform,1
597,0,1,polarized,uniform,2
598,0,1,polarized,uniform,3
599,0,1,polarized,uniform,4
610,0,0.75,polarized,uniform,0
611,0,0.75,polarized,uniform,1
612,0,0.75,polarized,uniform,2
613,0,0.75,polarized,uniform,3
614,0,0.75,polarized,uniform,4
615,0,1,polarized,uniform,0
616,0,1,polarized,uniform,1
617,0,1,polarized,uniform,2
618,0,1,polarized,uniform,3
619,0,1,polarized,uniform,4
630,0,0.75,polarized,uniform,0
631,0,0.75,polarized,uniform,1
632,0,0.75,polarized,uniform,2
633,0,0.75,polarized,uniform,3
634,0,0.75,polarized,uniform,4
635,0,1,polarized,uniform,0
636,0,1,polarized,uniform,1
637,0,1,polarized,uniform,2
638,0,1,polarized,uniform,3
639,0,1,polarized,uniform,4
650,0,0.75,uniform,uniform,0
651,0,0.75,uniform,uniform,1
652,0,0.75,uniform,uniform,2
653,0,0.75,uniform,uniform,3
654,0,0.75,uniform,uniform,4
655,0,1,uniform,uniform,0
656,0,1,uniform,uniform,1
657,0,1,uniform,uniform,2
658,0,1,uniform,uniform,3
659,0,1,uniform,uniform,4
670,0,0.75,uniform,uniform,0
671,0,0.75,uniform,uniform,1
672,0,0.75,uniform,uniform,2
673,0,0.75,uniform,uniform,3
674,0,0.75,uniform,uniform,4
675,0,1,uniform,uniform,0
676,0,1,uniform,uniform,1
677,0,1,uniform,uniform,2
678,0,1,uniform,uniform,3
679,0,1,uniform,uniform,4
690,0,0.75,uniform,uniform,0
691,0,0.75,uniform,uniform,1
692,0,0.75,uniform,uniform,2
693,0,0.75,uniform,uniform,3
694,0,0.75,uniform,uniform,4
695,0,1,uniform,uniform,0
696,0,1,uniform,uniform,1
697,0,1,uniform,uniform,2
698,0,1,uniform,uniform,3
699,0,1,uniform,uniform,4
710,0,0.75,uniform,uniform,0
711,0,0.75,uniform,uniform,1
712,0,0.75,uniform,uniform,2
713,0,0.75,uniform,uniform,3
714,0,0.75,uniform,uniform,4
715,0,1,uniform,uniform,0
716,0,1,uniform,uniform,1
717,0,1,uniform,uniform,2
718,0,1,uniform,uniform,3
719,0,1,uniform,uniform,4
730,0,0.75,normal,normal,0
731,0,0.75,normal,normal,1
732,0,0.75,normal,normal,2
733,0,0.75,normal,normal,3
734,0,0.75,normal,normal,4
735,0,1,normal,normal,0
736,0,1,normal,normal,1
737,0,1,normal,normal,2
738,0,1,normal,normal,3
739,0,1,normal,normal,4
750,0,0.75,normal,normal,0
751,0,0.75,normal,normal,1
752,0,0.75,normal,normal,2
753,0,0.75,normal,normal,3
754,0,0.75,normal,normal,4
755,0,1,normal,normal,0
756,0,1,normal,normal,1
757,0,1,normal,normal,2
758,0,1,normal,normal,3
759,0,1,normal,normal,4
770,0,0.75,normal,normal,0
771,0,0.75,normal,normal,1
772,0,0.75,normal,normal,2
773,0,0.75,normal,normal,3
774,0,0.75,normal,normal,4
775,0,1,normal,normal,0
776,0,1,normal,normal,1
777,0,1,normal,normal,2
778,0,1,normal,normal,3
779,0,1,normal,normal,4
790,0,0.75,normal,normal,0
791,0,0.75,normal,normal,1
792,0,0.75,normal,normal,2
793,0,0.75,normal,normal,3
794,0,0.75,normal,normal,4
795,0,1,normal,normal,0
796,0,1,normal,normal,1
797,0,1,normal,normal,2
798,0,1,normal,normal,3
799,0,1,normal,normal,4
801,0,0.25,polarized,normal,1
802,0,0.25,polarized,normal,2
807,0,0.5,polarized,normal,2
808,0,0.5,polarized,normal,3
810,0,0.75,polarized,normal,0
811,0,0.75,polarized,normal,1
812,0,0.75,polarized,normal,2
813,0,0.75,polarized,normal,3
814,0,0.75,polarized,normal,4
815,0,1,polarized,normal,0
816,0,1,polarized,normal,1
817,0,1,polarized,normal,2
818,0,1,polarized,normal,3
819,0,1,polarized,normal,4
820,0,0.25,polarized,normal,0
823,0,0.25,polarized,normal,3
825,0,0.5,polarized,normal,0
828,0,0.5,polarized,normal,3
830,0,0.75,polarized,normal,0
831,0,0.75,polarized,normal,1
832,0,0.75,polarized,normal,2
833,0,0.75,polarized,normal,3
834,0,0.75,polarized,normal,4
835,0,1,polarized,normal,0
836,0,1,polarized,normal,1
837,0,1,polarized,normal,2
838,0,1,polarized,normal,3
839,0,1,polarized,normal,4
840,0,0.25,polarized,normal,0
843,0,0.25,polarized,normal,3
845,0,0.5,polarized,normal,0
